AverageTemperature,City,Year,Month
23.873,Acapulco,1910,1
24.327,Acapulco,1910,2
22.579,Acapulco,1910,3
24.001,Acapulco,1910,4
25.321,Acapulco,1910,5
26.489,Acapulco,1910,6
26.844,Acapulco,1910,7
27.312,Acapulco,1910,8
26.451,Acapulco,1910,9
26.495,Acapulco,1910,10
26.552,Acapulco,1910,11
24.966,Acapulco,1910,12
25.034,Acapulco,1911,1
24.865,Acapulco,1911,2
24.173,Acapulco,1911,3
24.651,Acapulco,1911,4
24.789,Acapulco,1911,5
27.359,Acapulco,1911,6
26.823,Acapulco,1911,7
27.404,Acapulco,1911,8
27.434,Acapulco,1911,9
27.292,Acapulco,1911,10
27.911,Acapulco,1911,11
25.832,Acapulco,1911,12
25.122,Acapulco,1912,1
23.424,Acapulco,1912,2
25.164,Acapulco,1912,3
25.628,Acapulco,1912,4
26.32,Acapulco,1912,5
26.319,Acapulco,1912,6
26.773,Acapulco,1912,7
26.975,Acapulco,1912,8
26.59,Acapulco,1912,9
26.84,Acapulco,1912,10
25.048,Acapulco,1912,11
25.989,Acapulco,1912,12
24.918,Acapulco,1913,1
24.467,Acapulco,1913,2
24.191,Acapulco,1913,3
23.188,Acapulco,1913,4
24.847,Acapulco,1913,5
26.04,Acapulco,1913,6
26.357,Acapulco,1913,7
26.94,Acapulco,1913,8
26.811,Acapulco,1913,9
26.661,Acapulco,1913,10
26.498,Acapulco,1913,11
25.987,Acapulco,1913,12
24.702,Acapulco,1914,1
24.673,Acapulco,1914,2
23.633,Acapulco,1914,3
23.788,Acapulco,1914,4
25.01,Acapulco,1914,5
26.448,Acapulco,1914,6
27.157,Acapulco,1914,7
27.451,Acapulco,1914,8
26.493,Acapulco,1914,9
27.054,Acapulco,1914,10
26.851,Acapulco,1914,11
26.542,Acapulco,1914,12
24.669,Acapulco,1915,1
24.508,Acapulco,1915,2
23.112,Acapulco,1915,3
24.295,Acapulco,1915,4
26.97,Acapulco,1915,5
28.086,Acapulco,1915,6
27.461,Acapulco,1915,7
27.214,Acapulco,1915,8
26.551,Acapulco,1915,9
26.25,Acapulco,1915,10
26.949,Acapulco,1915,11
25.733,Acapulco,1915,12
26.036,Acapulco,1916,1
24.566,Acapulco,1916,2
24.309,Acapulco,1916,3
24.036,Acapulco,1916,4
26.396,Acapulco,1916,5
27.76,Acapulco,1916,6
26.764,Acapulco,1916,7
26.321,Acapulco,1916,8
26.258,Acapulco,1916,9
26.545,Acapulco,1916,10
26.225,Acapulco,1916,11
26.219,Acapulco,1916,12
25.663,Acapulco,1917,1
24.762,Acapulco,1917,2
24.44,Acapulco,1917,3
24.155,Acapulco,1917,4
26.326,Acapulco,1917,5
26.944,Acapulco,1917,6
27.116,Acapulco,1917,7
27.066,Acapulco,1917,8
26.872,Acapulco,1917,9
26.515,Acapulco,1917,10
25.171,Acapulco,1917,11
25.662,Acapulco,1917,12
24.651,Acapulco,1918,1
25.149,Acapulco,1918,2
23.321,Acapulco,1918,3
24.278,Acapulco,1918,4
26.143,Acapulco,1918,5
26.517,Acapulco,1918,6
27.023,Acapulco,1918,7
26.657,Acapulco,1918,8
26.772,Acapulco,1918,9
27.473,Acapulco,1918,10
27.039,Acapulco,1918,11
26.208,Acapulco,1918,12
23.738,Acapulco,1919,1
24.996,Acapulco,1919,2
23.821,Acapulco,1919,3
24.288,Acapulco,1919,4
26.784,Acapulco,1919,5
27.37,Acapulco,1919,6
27.222,Acapulco,1919,7
27.933,Acapulco,1919,8
27.121,Acapulco,1919,9
27.804,Acapulco,1919,10
27.036,Acapulco,1919,11
26.415,Acapulco,1919,12
25.014,Acapulco,1920,1
25.508,Acapulco,1920,2
25.18,Acapulco,1920,3
25.506,Acapulco,1920,4
25.391,Acapulco,1920,5
26.408,Acapulco,1920,6
27.66,Acapulco,1920,7
27.233,Acapulco,1920,8
27.12,Acapulco,1920,9
26.804,Acapulco,1920,10
26.877,Acapulco,1920,11
25.868,Acapulco,1920,12
24.753,Acapulco,1921,1
24.046,Acapulco,1921,2
24.468,Acapulco,1921,3
25.092,Acapulco,1921,4
26.02,Acapulco,1921,5
27.699,Acapulco,1921,6
